"1","AD","02","Canillo"
"2","AD","03","Encamp"
"3","AD","04","La Massana"
"4","AD","05","Ordino"
"5","AD","06","Sant Julia de Loria"
"6","AD","07","Andorra la Vella"
"7","AD","08","Escaldes-Engordany"
"8","AE","01","Abu Dhabi"
"9","AE","02","Ajman"
"10","AE","03","Dubai"
"11","AE","04","Fujairah"
"12","AE","05","Ras Al Khaimah"
"13","AE","06","Sharjah"
"14","AE","07","Umm Al Quwain"
"15","AF","01","Badakhshan"
"16","AF","02","Badghis"
"17","AF","03","Baghlan"
"18","AF","05","Bamian"
"19","AF","06","Farah"
"20","AF","07","Faryab"
"21","AF","08","Ghazni"
"22","AF","09","Ghowr"
"23","AF","10","Helmand"
"24","AF","11","Herat"
"25","AF","13","Kabol"
"26","AF","14","Kapisa"
"27","AF","17","Lowgar"
"28","AF","18","Nangarhar"
"29","AF","19","Nimruz"
"30","AF","23","Kandahar"
"31","AF","24","Kondoz"
"32","AF","26","Takhar"
"33","AF","27","Vardak"
"34","AF","28","Zabol"
"35","AF","29","Paktika"
"36","AF","30","Balkh"
"37","AF","31","Jowzjan"
"38","AF","32","Samangan"
"39","AF","33","Sar-e Pol"
"40","AF","34","Konar"
"41","AF","35","Laghman"
"42","AF","36","Paktia"
"43","AF","37","Khowst"
"44","AF","38","Nurestan"
"45","AF","39","Oruzgan"
"46","AF","40","Parvan"
"47","AF","41","Daykondi"
"48","AF","42","Panjshir"
"49","AG","01","Barbuda"
"50","AG","03","Saint George"
"51","AG","04","Saint John"
"52","AG","05","Saint Mary"
"53","AG","06","Saint Paul"
"54","AG","07","Saint Peter"
"55","AG","08","Saint Philip"
"56","AG","09","Redonda"
"57","AL","40","Berat"
"58","AL","41","Diber"
"59","AL","42","Durres"
"60","AL","43","Elbasan"
"61","AL","44","Fier"
"62","AL","45","Gjirokaster"
"63","AL","46","Korce"
"64","AL","47","Kukes"
"65","AL","48","Lezhe"
"66","AL","49","Shkoder"
"67","AL","50","Tirane"
"68","AL","51","Vlore"
"69","AM","01","Aragatsotn"
"70","AM","02","Ararat"
"71","AM","03","Armavir"
"72","AM","04","Geghark'unik'"
"73","AM","05","Kotayk'"
"74","AM","06","Lorri"
"75","AM","07","Shirak"
"76","AM","08","Syunik'"
"77","AM","09","Tavush"
"78","AM","10","Vayots' Dzor"
"79","AM","11","Yerevan"
"80","AO","01","Benguela"
"81","AO","02","Bie"
"82","AO","03","Cabinda"
"83","AO","04","Cuando Cubango"
"84","AO","05","Cuanza Norte"
"85","AO","06","Cuanza Sul"
"86","AO","07","Cunene"
"87","AO","08","Huambo"
"88","AO","09","Huila"
"89","AO","12","Malanje"
"90","AO","13","Namibe"
"91","AO","14","Moxico"
"92","AO","15","Uige"
"93","AO","16","Zaire"
"94","AO","17","Lunda Norte"
"95","AO","18","Lunda Sul"
"96","AO","19","Bengo"
"97","AO","20","Luanda"
"98","AR","01","Buenos Aires"
"99","AR","02","Catamarca"
"100","AR","03","Chaco"
"101","AR","04","Chubut"
"102","AR","05","Cordoba"
"103","AR","06","Corrientes"
"104","AR","07","Distrito Federal"
"105","AR","08","Entre Rios"
"106","AR","09","Formosa"
"107","AR","10","Jujuy"
"108","AR","11","La Pampa"
"109","AR","12","La Rioja"
"110","AR","13","Mendoza"
"111","AR","14","Misiones"
"112","AR","15","Neuquen"
"113","AR","16","Rio Negro"
"114","AR","17","Salta"
"115","AR","18","San Juan"
"116","AR","19","San Luis"
"117","AR","20","Santa Cruz"
"118","AR","21","Santa Fe"
"119","AR","22","Santiago del Estero"
"120","AR","23","Tierra del Fuego"
"121","AR","24","Tucuman"
"122","AT","01","Burgenland"
"123","AT","02","Karnten"
"124","AT","03","Niederosterreich"
"125","AT","04","Oberosterreich"
"126","AT","05","Salzburg"
"127","AT","06","Steiermark"
"128","AT","07","Tirol"
"129","AT","08","Vorarlberg"
"130","AT","09","Wien"
"131","AU","01","Australian Capital Territory"
"132","AU","02","New South Wales"
"133","AU","03","Northern Territory"
"134","AU","04","Queensland"
"135","AU","05","South Australia"
"136","AU","06","Tasmania"
"137","AU","07","Victoria"
"138","AU","08","Western Australia"
"139","AZ","01","Abseron"
"140","AZ","02","Agcabadi"
"141","AZ","03","Agdam"
"142","AZ","04","Agdas"
"143","AZ","05","Agstafa"
"144","AZ","06","Agsu"
"145","AZ","07","Ali Bayramli"
"146","AZ","08","Astara"
"147","AZ","09","Baki"
"148","AZ","10","Balakan"
"149","AZ","11","Barda"
"150","AZ","12","Beylaqan"
"151","AZ","13","Bilasuvar"
"152","AZ","14","Cabrayil"
"153","AZ","15","Calilabad"
"154","AZ","16","Daskasan"
"155","AZ","17","Davaci"
"156","AZ","18","Fuzuli"
"157","AZ","19","Gadabay"
"158","AZ","20","Ganca"
"159","AZ","21","Goranboy"
"160","AZ","22","Goycay"
"161","AZ","23","Haciqabul"
"162","AZ","24","Imisli"
"163","AZ","25","Ismayilli"
"164","AZ","26","Kalbacar"
"165","AZ","27","Kurdamir"
"166","AZ","28","Lacin"
"167","AZ","29","Lankaran"
"168","AZ","30","Lankaran"
"169","AZ","31","Lerik"
"170","AZ","32","Masalli"
"171","AZ","33","Mingacevir"
"172","AZ","34","Naftalan"
"173","AZ","35","Naxcivan"
"174","AZ","36","Neftcala"
"175","AZ","37","Oguz"
"176","AZ","38","Qabala"
"177","AZ","39","Qax"
"178","AZ","40","Qazax"
"179","AZ","41","Qobustan"
"180","AZ","42","Quba"
"181","AZ","43","Qubadli"
"182","AZ","44","Qusar"
"183","AZ","45","Saatli"
"184","AZ","46","Sabirabad"
"185","AZ","47","Saki"
"186","AZ","48","Saki"
"187","AZ","49","Salyan"
"188","AZ","50","Samaxi"
"189","AZ","51","Samkir"
"190","AZ","52","Samux"
"191","AZ","53","Siyazan"
"192","AZ","54","Sumqayit"
"193","AZ","55","Susa"
"194","AZ","56","Susa"
"195","AZ","57","Tartar"
"196","AZ","58","Tovuz"
"197","AZ","59","Ucar"
"198","AZ","60","Xacmaz"
"199","AZ","61","Xankandi"
"200","AZ","62","Xanlar"
"201","AZ","63","Xizi"
"202","AZ","64","Xocali"
"203","AZ","65","Xocavand"
"204","AZ","66","Yardimli"
"205","AZ","67","Yevlax"
"206","AZ","68","Yevlax"
"207","AZ","69","Zangilan"
"208","AZ","70","Zaqatala"
"209","AZ","71","Zardab"
"210","BA","01","Federation of Bosnia and Herzegovina"
"211","BA","02","Republika Srpska"
"212","BB","01","Christ Church"
"213","BB","02","Saint Andrew"
"214","BB","03","Saint George"
"215","BB","04","Saint James"
"216","BB","05","Saint John"
"217","BB","06","Saint Joseph"
"218","BB","07","Saint Lucy"
